Lines of code metrics,Thu, 7 May 2020 15:54:07 CEST
Package,C(rec),Ca,Ce,CLOC(rec),COM_RAT(rec),Cyclic,I,LOC(rec),METH(rec),v(G)avg
"","1,351",n/a,n/a,"6,747",6.28%,n/a,n/a,"107,387","6,459",n/a
"net","1,344",n/a,n/a,"6,687",6.25%,n/a,n/a,"106,984","6,394",n/a
"net.sf","1,344",n/a,n/a,"6,687",6.25%,n/a,n/a,"106,984","6,394",n/a
"net.sf.jabref","1,344",85,46,"6,687",6.25%,104,0.35,"106,984","6,394",2.57
"net.sf.jabref.cli",10,9,51,40,3.77%,104,0.89,"1,062",65,2.78
"net.sf.jabref.collab",20,28,97,89,6.01%,104,0.79,"1,482",85,2.76
"net.sf.jabref.gui",714,300,429,"2,890",5.44%,104,0.52,"53,165","3,069",2.26
"net.sf.jabref.gui.actions",27,43,103,63,4.19%,104,0.71,"1,504",71,2.79
"net.sf.jabref.gui.autocompleter",8,9,6,103,13.15%,104,0.36,783,46,3.03
"net.sf.jabref.gui.autosaveandbackup",2,4,5,0,0.00%,104,0.56,50,3,1.67
"net.sf.jabref.gui.auximport",2,1,7,5,2.67%,104,0.88,187,7,2.17
"net.sf.jabref.gui.bibtexkeypattern",6,5,35,25,4.85%,104,0.88,515,23,2.05
"net.sf.jabref.gui.cleanup",7,5,19,8,1.78%,104,0.82,450,35,1.97
"net.sf.jabref.gui.contentselector",6,4,18,54,8.82%,104,0.85,612,16,5.38
"net.sf.jabref.gui.customentrytypes",8,10,32,44,5.19%,104,0.80,847,42,3.27
"net.sf.jabref.gui.date",1,1,5,4,6.78%,104,0.83,59,3,1.67
"net.sf.jabref.gui.dbproperties",2,1,11,9,3.46%,104,0.92,260,9,3.38
"net.sf.jabref.gui.desktop",6,14,12,30,5.74%,104,0.46,523,34,5.78
"net.sf.jabref.gui.desktop.os",5,7,7,3,1.46%,104,0.50,205,25,1.95
"net.sf.jabref.gui.entryeditor",30,30,122,102,4.65%,104,0.81,"2,193",147,2.57
